✓ Initialized. View run at 
https://modal.com/apps/jmwright-045/main/ap-fQQKVq5aNgclIGwjNZ2126
✓ Created objects.
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/modal/modal_e5.py
├── 🔨 Created mount /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/inputs
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/requirements.txt
├── 🔨 Created mount 
│   /home/ec2-user/css/kernel/kernel-of-truth/poc/e5/runner/e5_runner.py
├── 🔨 Created mount PythonPackage:modal_common
├── 🔨 Created function run_e5_t4.
└── 🔨 Created function run_e5_a10g.
kot-e5 via Modal: gpu=A10G mock=False (12 staged files, runner 0fadb8b4b14e…)
[e5     3.5s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32
[e5    11.3s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e5    11.3s] sweep arm=true lr=0.0003
[e5  1589.8s]     step 1000/2000 loss 2.3123
[e5  1597.5s]     step 1050/2000 loss 1.9379
[e5  1605.3s]     step 1100/2000 loss 2.0615
[e5  1613.4s]     step 1150/2000 loss 1.8295
[e5  1621.4s]     step 1200/2000 loss 2.4046
[e5  1629.2s]     step 1250/2000 loss 2.2877
[e5  1636.9s]     step 1300/2000 loss 1.9840
[e5  1644.9s]     step 1350/2000 loss 2.0111
[e5  1652.8s]     step 1400/2000 loss 1.9935
[e5  1660.6s]     step 1450/2000 loss 2.4239
[e5  1668.4s]     step 1500/2000 loss 2.0129
[e5  1676.0s]     step 1550/2000 loss 1.9543
[e5  1684.1s]     step 1600/2000 loss 2.0669
[e5  1692.0s]     step 1650/2000 loss 2.0691
[e5  1699.8s]     step 1700/2000 loss 2.0799
[e5  1707.7s]     step 1750/2000 loss 2.1130
[e5  1715.4s]     step 1800/2000 loss 1.8075
[e5  1723.3s]     step 1850/2000 loss 1.9131
[e5  1731.3s]     step 1900/2000 loss 1.8707
[e5  1739.0s]     step 1950/2000 loss 1.7833
[e5  1746.7s]     step 1999/2000 loss 1.8504
[e5  1753.1s]   arm=true seed=0: seenAcc=0.7700 nonceAcc=0.4750 valCE=2.3029
[e5  1753.1s] train arm=true seed=1 lr=0.003
[e5  1754.4s]     step 0/2000 loss 4.4449
[e5  1762.2s]     step 50/2000 loss 3.8227
[e5  1770.1s]     step 100/2000 loss 3.3074
[e5  1777.9s]     step 150/2000 loss 3.0359
[e5  1785.9s]     step 200/2000 loss 2.8176
[e5  1793.6s]     step 250/2000 loss 2.7412
[e5  1801.5s]     step 300/2000 loss 2.7316
[e5  1809.6s]     step 350/2000 loss 2.8606
[e5  1817.2s]     step 400/2000 loss 2.5821
[e5  1825.0s]     step 450/2000 loss 2.4193
