$ /usr/local/bin/python /root/kot/poc/e9/runner/e9_runner.py --inputs-dir /root/kot/poc/e9/inputs --out-dir /tmp/e9-results --device cuda
[e9     3.2s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32 arms=['true', 'shuffled', 'defl']
[e9    10.2s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e9    10.2s] sweep arm=true lr=0.0003
[e9  1388.1s]     step 750/1000 loss 2.5367
[e9  1395.9s]     step 800/1000 loss 2.3999
[e9  1404.0s]     step 850/1000 loss 2.5930
[e9  1411.7s]     step 900/1000 loss 2.5368
[e9  1419.4s]     step 950/1000 loss 2.7510
[e9  1427.1s]     step 999/1000 loss 2.2896
[e9  1427.5s]   arm=defl lr=0.003 valCE=2.6459
[e9  1427.6s] selected lr=0.003 for arm=defl
[e9  1427.6s] train arm=true seed=0 lr=0.003
[e9  1428.9s]     step 0/2000 loss 4.3671
[e9  1436.6s]     step 50/2000 loss 3.8604
[e9  1444.5s]     step 100/2000 loss 3.3756
[e9  1452.2s]     step 150/2000 loss 3.1302
[e9  1460.1s]     step 200/2000 loss 2.9296
[e9  1467.6s]     step 250/2000 loss 2.8621
[e9  1475.3s]     step 300/2000 loss 2.8331
[e9  1483.5s]     step 350/2000 loss 2.6178
[e9  1491.4s]     step 400/2000 loss 2.7340
[e9  1499.2s]     step 450/2000 loss 2.6208
[e9  1507.0s]     step 500/2000 loss 2.5701
[e9  1515.1s]     step 550/2000 loss 2.5461
[e9  1523.2s]     step 600/2000 loss 2.6675
[e9  1530.8s]     step 650/2000 loss 2.3230
[e9  1538.8s]     step 700/2000 loss 2.4346
[e9  1546.6s]     step 750/2000 loss 2.3383
[e9  1554.5s]     step 800/2000 loss 2.2869
[e9  1562.5s]     step 850/2000 loss 2.4303
[e9  1570.3s]     step 900/2000 loss 2.3962
[e9  1578.0s]     step 950/2000 loss 2.5714
[e9  1585.9s]     step 1000/2000 loss 2.3123
[e9  1593.6s]     step 1050/2000 loss 1.9379
[e9  1601.3s]     step 1100/2000 loss 2.0615
[e9  1609.4s]     step 1150/2000 loss 1.8295
[e9  1617.4s]     step 1200/2000 loss 2.4046
[e9  1625.2s]     step 1250/2000 loss 2.2877
[e9  1632.8s]     step 1300/2000 loss 1.9840
[e9  1640.8s]     step 1350/2000 loss 2.0111
[e9  1648.8s]     step 1400/2000 loss 1.9935
[e9  1656.5s]     step 1450/2000 loss 2.4239
[e9  1664.2s]     step 1500/2000 loss 2.0129
[e9  1671.8s]     step 1550/2000 loss 1.9543
[e9  1679.9s]     step 1600/2000 loss 2.0669
[e9  1687.8s]     step 1650/2000 loss 2.0691
[e9  1695.6s]     step 1700/2000 loss 2.0799
[e9  1703.5s]     step 1750/2000 loss 2.1130
[e9  1711.2s]     step 1800/2000 loss 1.8075
[e9  1719.0s]     step 1850/2000 loss 1.9131
[e9  1727.0s]     step 1900/2000 loss 1.8707
[e9  1734.7s]     step 1950/2000 loss 1.7833
[e9  1742.4s]     step 1999/2000 loss 1.8504
[e9  1748.7s]   arm=true seed=0: seenAcc=0.7700 nonceAcc=0.4750 valCE=2.3029
[e9  1748.7s] train arm=true seed=1 lr=0.003
[e9  1750.0s]     step 0/2000 loss 4.4449
[e9  1757.8s]     step 50/2000 loss 3.8227
[e9  1765.7s]     step 100/2000 loss 3.3074
[e9  1773.6s]     step 150/2000 loss 3.0359
[e9  1781.5s]     step 200/2000 loss 2.8176
[e9  1789.2s]     step 250/2000 loss 2.7412
[e9  1797.1s]     step 300/2000 loss 2.7316
[e9  1805.2s]     step 350/2000 loss 2.8606
[e9  1812.7s]     step 400/2000 loss 2.5821
[e9  1820.5s]     step 450/2000 loss 2.4193
[e9  1828.4s]     step 500/2000 loss 2.4573
[e9  1836.0s]     step 550/2000 loss 2.3360
[e9  1844.0s]     step 600/2000 loss 2.3801
[e9  1851.9s]     step 650/2000 loss 2.6055
[e9  1859.7s]     step 700/2000 loss 2.3844
[e9  1867.7s]     step 750/2000 loss 2.1935
[e9  1875.4s]     step 800/2000 loss 2.1901
[e9  1883.2s]     step 850/2000 loss 2.1146
[e9  1891.1s]     step 900/2000 loss 2.1837
[e9  1899.0s]     step 950/2000 loss 2.3075
[e9  1906.8s]     step 1000/2000 loss 2.2628
[e9  1914.7s]     step 1050/2000 loss 2.1177
[e9  1922.6s]     step 1100/2000 loss 2.0011
[e9  1930.5s]     step 1150/2000 loss 2.2427
[e9  1938.5s]     step 1200/2000 loss 1.9905
[e9  1946.4s]     step 1250/2000 loss 1.8928
[e9  1954.1s]     step 1300/2000 loss 1.9982
[e9  1962.0s]     step 1350/2000 loss 2.1227
[e9  1969.9s]     step 1400/2000 loss 2.0771
[e9  1977.7s]     step 1450/2000 loss 1.8073
[e9  1985.6s]     step 1500/2000 loss 2.1003
[e9  1993.4s]     step 1550/2000 loss 1.8358
[e9  2001.4s]     step 1600/2000 loss 1.9230
[e9  2009.2s]     step 1650/2000 loss 2.0891
[e9  2017.2s]     step 1700/2000 loss 1.8347
[e9  2025.0s]     step 1750/2000 loss 2.1635
[e9  2032.7s]     step 1800/2000 loss 1.9779
[e9  2040.5s]     step 1850/2000 loss 1.9412
[e9  2048.3s]     step 1900/2000 loss 2.0301
[e9  2056.1s]     step 1950/2000 loss 2.0102
[e9  2063.8s]     step 1999/2000 loss 2.0458
[e9  2070.1s]   arm=true seed=1: seenAcc=0.7980 nonceAcc=0.4583 valCE=2.2948
[e9  2070.1s] train arm=true seed=2 lr=0.003
[e9  2071.5s]     step 0/2000 loss 4.3271
[e9  2079.5s]     step 50/2000 loss 3.7693
[e9  2087.3s]     step 100/2000 loss 3.2971
[e9  2094.9s]     step 150/2000 loss 3.1222
[e9  2102.8s]     step 200/2000 loss 2.8886
[e9  2110.5s]     step 250/2000 loss 2.7962
[e9  2118.3s]     step 300/2000 loss 3.0095
[e9  2126.1s]     step 350/2000 loss 2.4225
[e9  2134.0s]     step 400/2000 loss 2.6300
[e9  2141.7s]     step 450/2000 loss 2.5512
[e9  2149.5s]     step 500/2000 loss 2.3296
[e9  2157.3s]     step 550/2000 loss 2.3530
[e9  2165.0s]     step 600/2000 loss 2.2283
[e9  2172.8s]     step 650/2000 loss 2.2998
[e9  2180.7s]     step 700/2000 loss 2.4091
[e9  2188.1s]     step 750/2000 loss 2.3658
[e9  2196.0s]     step 800/2000 loss 2.0809
[e9  2203.8s]     step 850/2000 loss 2.3627
[e9  2211.5s]     step 900/2000 loss 2.2466
[e9  2219.3s]     step 950/2000 loss 2.3911
[e9  2227.1s]     step 1000/2000 loss 2.0885
[e9  2234.8s]     step 1050/2000 loss 2.3063
[e9  2242.5s]     step 1100/2000 loss 2.0430
[e9  2250.6s]     step 1150/2000 loss 2.2468
[e9  2258.4s]     step 1200/2000 loss 2.1559
[e9  2266.1s]     step 1250/2000 loss 2.2121
[e9  2274.0s]     step 1300/2000 loss 1.7994
[e9  2281.7s]     step 1350/2000 loss 1.9988
[e9  2289.5s]     step 1400/2000 loss 1.9711
[e9  2297.2s]     step 1450/2000 loss 1.8965
[e9  2305.0s]     step 1500/2000 loss 2.2044
[e9  2312.9s]     step 1550/2000 loss 1.8811
[e9  2320.6s]     step 1600/2000 loss 1.9228
[e9  2328.6s]     step 1650/2000 loss 2.0345
[e9  2336.3s]     step 1700/2000 loss 2.0898
[e9  2343.9s]     step 1750/2000 loss 1.9284
[e9  2351.8s]     step 1800/2000 loss 2.2778
[e9  2359.6s]     step 1850/2000 loss 1.9391
[e9  2367.6s]     step 1900/2000 loss 1.9488
[e9  2375.4s]     step 1950/2000 loss 1.9614
[e9  2383.3s]     step 1999/2000 loss 2.0000
